gene,region1,region2,spearman_rho
EIF2S1,BA9,Putamen,0.8901399757280507
EIF2S1,BA9,Hippocampus,0.8372453149127803
EIF2S1,BA9,NAcc,0.8753861797842367
EIF2S1,BA9,BA24,0.9742860743922734
EIF2S1,Putamen,Hippocampus,0.8987402637058282
EIF2S1,Putamen,NAcc,0.9566315822738678
EIF2S1,Putamen,BA24,0.8980927480291843
EIF2S1,Hippocampus,NAcc,0.9115128492628347
EIF2S1,Hippocampus,BA24,0.8571369726273248
EIF2S1,NAcc,BA24,0.8900629534541594
PELO,BA9,Putamen,0.888087610294076
PELO,BA9,Hippocampus,0.8829377053066483
PELO,BA9,NAcc,0.892214020626776
PELO,BA9,BA24,0.967464169182604
PELO,Putamen,Hippocampus,0.8427886994925722
PELO,Putamen,NAcc,0.9481010700812539
PELO,Putamen,BA24,0.8764047530266507
PELO,Hippocampus,NAcc,0.8729115111143402
PELO,Hippocampus,BA24,0.8808200019252198
PELO,NAcc,BA24,0.8839765124937007
