,EIF2S1
PSMD14,0.28406617
PSMA3,0.2660711
PSMA4,0.25030065
HNRNPK,0.24191333
ALG11,0.23335171
ANAPC11,0.22376314
TUBA1A,0.22247155
PSMA2,0.21878225
ETF1,0.21546642
NUF2,0.2140585
PSMA1,0.21000008
KPNB1,0.20675963
PSMA6,0.20434636
RBM22,0.20390628
EIF5,0.20190509
DYNC1H1,0.20168519
RBM8A,0.20147476
DNAJC17,0.20029037
VCP,0.19704911
RPA1,0.19530375
MTBP,0.1922301
MTREX,0.19070953
GPN1,0.19000287
PSMC6,0.18971011
PSMA5,0.18952265
NARS1,0.18743098
PTK2,0.1863285
HCFC1,0.18520169
NFYB,0.18417296
GCNA,0.1839204
POLR3F,0.18344517
SRP54,0.18065749
STX5,0.18058087
LELP1,0.18025245
EIF2S2,0.17880733
SELENOW,0.17789966
YPEL5,0.17721711
NSF,0.17616972
PRPF8,0.17566988
ARHGAP11A,0.17516977
CACNG3,0.17489123
ZNF57,0.17445476
BTN3A2,0.17314978
LPA,0.17245428
DNTTIP2,0.17216617
PCDHA6,0.17179842
SAP30BP,0.17134145
C17orf80,0.17029525
PSMD1,0.17009687
SNRPG,0.16986088
SEC61G,0.16908042
PSMC5,0.16906892
KBTBD7,0.16707365
SF3A1,0.16701749
ZNF486,0.16633633
HOXC6,0.1662435
KLRD1,0.16558082
SLC39A12,0.16508739
NDC80,0.16450736
APOBEC3B,0.16414358
AURKA,0.16365781
FAM81A,0.16349582
COPB2,0.16348934
NPAT,0.16303545
SMU1,0.16289005
TTK,0.1622933
CXorf58,0.16227904
BTNL8,0.16160116
ZNF207,0.16150238
LCE5A,0.16124676
MAGEC1,0.16022533
CFHR5,0.15988432
ZNF780B,0.15971105
XPO1,0.1596385
NAPA,0.15849756
CWC22,0.1579395
NEK5,0.15751874
CHEK1,0.1569897
POLE2,0.15610282
PSMC1,0.15608053
POLA2,0.15562528
SCFD1,0.15549658
WEE1,0.1553139
SKA2,0.15440547
CDC6,0.15395446
CEACAM1,0.15376005
PSMC3,0.15224998
MOB4,0.15194039
KRTAP9-9,0.15189208
ANAPC2,0.15166014
WASHC2C,0.15098883
RANBP2,0.1504877
DDX46,0.1504496
ITGAV,0.15038037
BTBD10,0.1493926
ARCN1,0.14881729
TLN1,0.14870715
TRAPPC3,0.14832695
LRRIQ3,0.1482944
ST8SIA6,0.1480451
ZNF597,0.14777844
BORA,0.14721535
SEMA6D,0.14694917
ZNF841,0.14681955
UGT1A10,0.14672323
PSMD3,0.14661841
EXTL2,0.14621872
ULK2,0.14620815
RPS24,0.14482589
ZNF709,0.14475648
HSPA9,0.14394481
DIPK1A,0.14327227
THOC1,0.14304325
VCL,0.14286557
FERMT2,0.1424527
IK,0.1424124
EXOC6B,0.14230078
PSMD7,0.14221159
CDC73,0.14191335
RAD21L1,0.14175686
RDX,0.14169927
SPOPL,0.14164875
RNGTT,0.14164138
RUVBL1,0.14151882
TLCD4,0.14132208
PIK3CB,0.14123194
PSMD11,0.14098534
ZNF160,0.14090331
SLC22A2,0.14083168
PI15,0.14048518
MAEL,0.14046308
DEFB129,0.14018773
SCIN,0.1401396
SBNO1,0.14003676
ZNF816,0.13969384
GLIPR1,0.13948505
PPP2R1B,0.1386172
PKN2,0.13857414
OOSP2,0.13843203
SF3B3,0.13827136
PCF11,0.13820502
WDR26,0.13790137
NEDD1,0.13784552
RPS17,0.13773589
SGO1,0.13764915
PI4KA,0.13713133
TSG101,0.13690528
ATP6V1B2,0.13685435
WBP11,0.13634513
FOXD4,0.13631527
MAJIN,0.13630861
FBXO5,0.1361996
ECD,0.1361784
ABCG1,0.13615042
RAB11A,0.1361136
SARS1,0.13589871
LAYN,0.1357768
HSPA5,0.13573322
FSHB,0.13556984
H2AC25,0.13535553
SPDYE1,0.13529375
CCT6B,0.13492312
NUP160,0.13488273
SNRPF,0.13474807
SIX1,0.13438119
EIF3I,0.13425423
KARS1,0.13418657
HAUS3,0.13401249
AURKC,0.13371685
PSMD6,0.13357247
KNL1,0.13340002
HPGDS,0.13337901
VN1R1,0.13335267
H2BC9,0.1333394
EIF4B,0.13315451
TAS2R43,0.13307789
NFYC,0.13298413
COX7B2,0.1328315
COL9A3,0.13281892
ISCU,0.13271174
ISM1,0.13249701
RAC1,0.13248982
RBM11,0.13246368
SLITRK2,0.13240463
COPA,0.13235112
ARSK,0.13223957
MED7,0.13219465
LPAR1,0.13215731
PSMB3,0.13210055
MYCBPAP,0.13194452
TNP2,0.13168107
NUP205,0.1315227
WDR47,0.13145365
ARHGEF12,0.13145064
HMGCR,0.13143416
FBXL6,0.13107568
DNAAF4,0.1310296
TFPI,0.13095023
SOWAHC,0.13087891
MTHFS,0.13083129
