target,hub,depmap_pearson_r,depmap_rank,depmap_percentile,in_top5_network
EIF2S1,CSNK2A1,0.027866,5309,29.849,False
EIF2S1,POLR2B,0.004431,8146,45.8,False
EIF2S1,PSMD14,0.284066,1,0.006,True
EIF2S1,RAN,-0.031144,12612,70.91,False
EIF2S1,KPNB1,0.20676,12,0.067,True
EIF2S1,EFTUD2,0.004322,8158,45.868,False
EIF2S1,YME1L1,-0.019869,11290,63.477,False
EIF2S1,ARCN1,0.148817,96,0.54,True
EIF2S1,HBS1L,-0.055365,14810,83.268,False
EIF2S1,LTN1,0.042593,3758,21.129,False
EIF2S1,NEMF,0.05738,2505,14.084,False
EIF2S1,VCP,0.197049,19,0.107,True
EIF2S1,TCF25,-0.065826,15528,87.305,False
EIF2S1,ASCC1,0.007479,7742,43.529,False
EIF2S1,ASCC2,-0.048505,14277,80.271,False
EIF2S1,ASCC3,0.053401,2796,15.72,False
EIF2S1,TRIP4,-0.014782,10685,60.075,False
PELO,CSNK2A1,0.059867,1790,10.064,False
PELO,POLR2B,0.028387,4934,27.741,False
PELO,PSMD14,-0.096848,17573,98.802,False
PELO,RAN,0.05452,2179,12.251,False
PELO,KPNB1,-0.05053,15792,88.789,False
PELO,EFTUD2,0.058168,1906,10.716,False
PELO,YME1L1,0.007788,8031,45.153,False
PELO,ARCN1,-0.078199,17211,96.767,False
PELO,HBS1L,0.429903,1,0.006,True
PELO,LTN1,0.088052,557,3.132,True
PELO,NEMF,0.093169,441,2.479,True
PELO,VCP,-0.073292,17043,95.823,False
PELO,TCF25,-0.045768,15423,86.714,False
PELO,ASCC1,0.120589,123,0.692,True
PELO,ASCC2,0.065408,1439,8.091,False
PELO,ASCC3,0.073555,1023,5.752,False
PELO,TRIP4,0.098172,345,1.94,True
