,PELO
HBS1L,0.42990312
WRN,0.21882029
DHX29,0.20667727
WDR77,0.18610193
TAMM41,0.18474627
WDR83,0.18319844
TUT7,0.18238354
CDKN1A,0.1761248
SKIC2,0.17381985
DIS3L,0.17200707
TIMM17A,0.17098562
LARP4,0.16745895
STEEP1,0.1646353
METTL14,0.16406824
ATM,0.16236219
ZWINT,0.16235289
CEP135,0.16211663
TP53,0.16192059
ENO1,0.16151547
CLASRP,0.15907934
YJU2B,0.15881494
RCC1L,0.15795496
SREBF1,0.15740755
TRNAU1AP,0.15740576
DHX9,0.15662235
FST,0.15506347
CENPA,0.15495035
HSPB3,0.15472439
MRPS6,0.1546164
RAD50,0.15454836
ADAT2,0.15454024
SLC25A26,0.151704
MRE11,0.15141468
PATL1,0.15057118
TP53BP1,0.15055174
RBBP4,0.14884304
WDR4,0.14748272
SKIC3,0.14718238
PGK1,0.14713885
POP5,0.14712675
ESPL1,0.14649165
NOP10,0.14635186
PMVK,0.14437415
SNRNP25,0.1439166
CMPK1,0.14308356
ANGEL1,0.14289412
IMP4,0.14148144
N6AMT1,0.1410245
MRPS35,0.13859229
RFC3,0.1383112
ZMAT5,0.13725941
TRIAP1,0.13670182
PHB2,0.13610873
TRMT10B,0.13583136
DPH6,0.13555549
FNTB,0.1355003
ELP6,0.13531534
MRPL14,0.13463113
MRPS24,0.13316461
SHQ1,0.13313136
PSAP,0.1326809
UNC5CL,0.1323809
EXOSC5,0.13218014
EGFLAM,0.13217625
PHB1,0.13154258
GTPBP8,0.13130356
CAPRIN1,0.13104554
DHX35,0.13037376
RAD9A,0.13030706
ID1,0.13000809
PPP1R8,0.12994117
PKM,0.12967962
EXOSC7,0.1293657
B4GALT1,0.12911226
PRKRIP1,0.12901783
RPP40,0.12869032
ENY2,0.12862512
CEP295,0.12856944
IFNAR1,0.12846242
NF1,0.1284602
GEMIN6,0.12828341
HSD17B10,0.1271933
MRPS12,0.12696815
CDC40,0.12650217
CEP97,0.12603538
TPI1,0.12573709
RPP21,0.12528592
MTX2,0.12519681
ZC3H12B,0.1248759
CCDC115,0.12485576
PRMT5,0.12484392
TRMT10A,0.124744765
SARS2,0.12473787
SEMA3E,0.124551505
TTI2,0.12454981
MTHFD1,0.124538384
MRPS22,0.124075845
CDHR3,0.12391122
F2R,0.123862974
FRYL,0.123729944
PHAF1,0.12372691
POLR3G,0.12358958
CEP152,0.12341035
CINP,0.12324916
MRPL18,0.12296062
SNRPA,0.122785084
SSBP1,0.12247164
ALDH1A1,0.12241067
MTCH2,0.12236477
GPATCH1,0.12227152
PCID2,0.122248136
RTTN,0.12204091
FRMPD1,0.12193693
MAT2A,0.121858686
BIN2,0.1217935
DCP2,0.12162277
RUSC2,0.12161399
CCAR1,0.12137952
ALG6,0.121320516
DNAJC24,0.12130499
DSG1,0.121219285
SYF2,0.12092402
ASCC1,0.12058902
MRPL33,0.120374694
MRPS14,0.12036172
ALG13,0.11996393
GTF3C6,0.11987594
ZBTB11,0.119600534
DCPS,0.11954182
C19orf38,0.119380794
USP28,0.11928774
NFX1,0.11912611
FNTA,0.11903121
EIF2A,0.11901497
ADSL,0.11883043
RPL8,0.11865287
FIS1,0.11832604
CLDN4,0.11832552
SLC2A1,0.11822045
PDCD5,0.11819172
ITGA2,0.11812176
UMOD,0.11777799
CDK8,0.117682315
NAA20,0.11764823
PPA2,0.11746947
TEN1,0.11746543
KCNK5,0.11699972
CCP110,0.11694484
MAD2L2,0.11680376
CRLS1,0.11645538
MALSU1,0.1163753
RPP14,0.11624361
KNOP1,0.1162203
METTL1,0.11596085
RTCB,0.11588277
MRPS27,0.11573796
RRS1,0.11562234
SPAG8,0.11553091
POLR1A,0.1154973
GTF2A2,0.11534573
ZP3,0.11529206
RBM18,0.115219
NBN,0.11517823
AMBRA1,0.11511447
NTN4,0.114810996
GART,0.11474872
TFAM,0.11472596
SASS6,0.11438506
COQ8B,0.11429467
MAGEH1,0.11422082
MGAT4A,0.113932356
GUK1,0.113918975
CLC,0.11383453
CCL2,0.11374295
VEZT,0.11332265
RPL22L1,0.11314494
RET,0.113036744
KCTD11,0.11302009
ILDR2,0.11283923
TENT4B,0.11236711
MPHOSPH8,0.11209661
MRPS10,0.112062775
MRPS11,0.11198391
HNRNPL,0.11186445
DNAJB5,0.11183656
RRP12,0.11166352
PPAT,0.11156427
PCED1B,0.11155838
SCD,0.111521274
RSPH14,0.11151553
PHF2,0.11117295
YIPF2,0.111111574
SHFL,0.111016534
CMAS,0.11093218
HUS1,0.11090781
H2BC15,0.11085837
PSD4,0.11075551
MRPL54,0.11069701
MRPL57,0.11069401
FAM187B,0.11058299
